id,waterway,name,lat,lon
71586721,canal,Unnamed Waterway,0,0
71587398,canal,Unnamed Waterway,0,0
71587409,canal,Unnamed Waterway,0,0
71587412,canal,Unnamed Waterway,0,0
71587425,canal,Unnamed Waterway,0,0
71590652,canal,Unnamed Waterway,0,0
71590883,canal,Unnamed Waterway,0,0
71597982,river,Unnamed Waterway,0,0
71598988,canal,Unnamed Waterway,0,0
71599006,canal,Unnamed Waterway,0,0
71599023,canal,Unnamed Waterway,0,0
71600120,stream,Unnamed Waterway,0,0
71600184,stream,Unnamed Waterway,0,0
71600239,stream,Unnamed Waterway,0,0
71600297,stream,Unnamed Waterway,0,0
71600317,stream,Unnamed Waterway,0,0
71600733,river,Alsi Khwar,0,0
71602231,canal,Amirabad Distributary,0,0
71674554,river,Unnamed Waterway,0,0
71675283,river,Unnamed Waterway,0,0
71675285,river,Bara River,0,0
71677232,river,Unnamed Waterway,0,0
71678537,river,Unnamed Waterway,0,0
71679028,stream,Unnamed Waterway,0,0
71697024,river,Unnamed Waterway,0,0
71697026,river,Unnamed Waterway,0,0
71697033,river,Unnamed Waterway,0,0
71700876,canal,Kalri Baghar Feeder,0,0
71710115,canal,Unnamed Waterway,0,0
71710119,canal,Unnamed Waterway,0,0
71738859,canal,Hazarkhwani Canal,0,0
71747158,river,دریائے سندھ,0,0
71747188,canal,اکرم واہ,0,0
71784197,canal,Unnamed Waterway,0,0
71794803,canal,Unnamed Waterway,0,0
71811380,canal,Unnamed Waterway,0,0
71811627,canal,Unnamed Waterway,0,0
71811657,canal,Unnamed Waterway,0,0
71816310,canal,Unnamed Waterway,0,0
71816323,canal,Unnamed Waterway,0,0
71816425,stream,Unnamed Waterway,0,0
71865166,stream,Unnamed Waterway,0,0
71865409,stream,Unnamed Waterway,0,0
71865418,stream,Unnamed Waterway,0,0
71865419,stream,Unnamed Waterway,0,0
71867747,river,دریائے سندھ,0,0
71890773,river,Unnamed Waterway,0,0
71890774,stream,Unnamed Waterway,0,0
71890775,river,Unnamed Waterway,0,0
71890777,river,Unnamed Waterway,0,0
71906610,canal,Unnamed Waterway,0,0
71908087,river,Unnamed Waterway,0,0
71912588,canal,Unnamed Waterway,0,0
71912678,river,Unnamed Waterway,0,0
71912679,river,Unnamed Waterway,0,0
71913254,river,Unnamed Waterway,0,0
71914601,canal,Unnamed Waterway,0,0
71914620,canal,Unnamed Waterway,0,0
71914733,canal,Unnamed Waterway,0,0
71914741,canal,Unnamed Waterway,0,0
71914890,canal,Unnamed Waterway,0,0
71914905,canal,Unnamed Waterway,0,0
71915448,canal,Unnamed Waterway,0,0
71915457,canal,Unnamed Waterway,0,0
71929099,canal,Unnamed Waterway,0,0
71946298,river,Unnamed Waterway,0,0
71946414,river,Unnamed Waterway,0,0
71946429,river,Unnamed Waterway,0,0
71949133,canal,Unnamed Waterway,0,0
71950381,canal,Unnamed Waterway,0,0
72003963,river,Unnamed Waterway,0,0
72003983,river,Unnamed Waterway,0,0
72004025,river,Unnamed Waterway,0,0
72004145,river,Unnamed Waterway,0,0
72004473,river,Unnamed Waterway,0,0
72005020,river,Unnamed Waterway,0,0
72011679,canal,Unnamed Waterway,0,0
72011680,canal,Unnamed Waterway,0,0
72011682,canal,Unnamed Waterway,0,0
72011684,canal,Unnamed Waterway,0,0
72011880,river,Unnamed Waterway,0,0
72070930,river,Unnamed Waterway,0,0
72071965,canal,Unnamed Waterway,0,0
72072057,canal,Unnamed Waterway,0,0
72072078,canal,Unnamed Waterway,0,0
72072079,canal,Unnamed Waterway,0,0
72075380,stream,Unnamed Waterway,0,0
72077889,canal,Unnamed Waterway,0,0
72084321,canal,Unnamed Waterway,0,0
72096076,canal,Unnamed Waterway,0,0
72097803,canal,Unnamed Waterway,0,0
72112679,canal,Unnamed Waterway,0,0
72113626,stream,Unnamed Waterway,0,0
72113650,stream,Unnamed Waterway,0,0
72122879,stream,Unnamed Waterway,0,0
72131852,canal,Unnamed Waterway,0,0
72145926,canal,Unnamed Waterway,0,0
72152307,canal,Unnamed Waterway,0,0
72152394,canal,Unnamed Waterway,0,0
72152507,canal,Unnamed Waterway,0,0
72153285,canal,Unnamed Waterway,0,0
72153585,canal,Unnamed Waterway,0,0
72153807,canal,Unnamed Waterway,0,0
72154450,canal,Unnamed Waterway,0,0
72154600,canal,Unnamed Waterway,0,0
72155109,canal,Unnamed Waterway,0,0
72155531,canal,Unnamed Waterway,0,0
72156007,canal,Unnamed Waterway,0,0
72156195,canal,Unnamed Waterway,0,0
72156196,canal,Unnamed Waterway,0,0
72156198,stream,Unnamed Waterway,0,0
72156449,canal,Unnamed Waterway,0,0
72157005,canal,Unnamed Waterway,0,0
72157085,stream,Unnamed Waterway,0,0
72157233,stream,Unnamed Waterway,0,0
72157242,stream,Unnamed Waterway,0,0
72157381,canal,Unnamed Waterway,0,0
72157448,stream,Unnamed Waterway,0,0
72161056,canal,Unnamed Waterway,0,0
72168955,canal,Unnamed Waterway,0,0
72187209,river,Unnamed Waterway,0,0
72192718,canal,Unnamed Waterway,0,0
72192757,canal,Unnamed Waterway,0,0
72233982,canal,Unnamed Waterway,0,0
72234162,canal,Unnamed Waterway,0,0
72235384,canal,Unnamed Waterway,0,0
72236075,canal,Unnamed Waterway,0,0
72236390,canal,Unnamed Waterway,0,0
72236398,canal,Unnamed Waterway,0,0
72236402,canal,Unnamed Waterway,0,0
72236422,canal,Unnamed Waterway,0,0
72236434,canal,Unnamed Waterway,0,0
72236435,canal,Unnamed Waterway,0,0
72236436,canal,Unnamed Waterway,0,0
